state_abbr,state,district,fec_id,first_name,last_name,name,party,votes,vote_share,winner,inc,tot_rec
AL,Alabama,2,H0AL02087,martha,roby,martha roby,Republican,134886,0.487685477106413,1,Incumbent,1404260.12
AL,Alabama,2,H6AL02167,nathan,mathis,nathan mathis,Democrat,112089,0.405262054204148,0,Challenger,36844.0
AL,Alabama,3,H2AL03032,mike,rogers,mike rogers,Republican,192164,0.66931843513152,1,Incumbent,1139022.37
AL,Alabama,3,H4AL03061,jesse,smith,jesse smith,Democrat,94549,0.329319689032546,0,Challenger,9810.0
AL,Alabama,5,H0AL05163,mo,brooks,mo brooks,Republican,205647,0.666979106530101,1,Incumbent,476225.18
AL,Alabama,5,H6AL05202,will,boyd,will boyd,Democrat,102234,0.331577615900054,0,Challenger,61311.93
AL,Alabama,6,H4AL06098,gary,palmer,gary palmer,Republican,245313,0.744939357315081,1,Incumbent,1232446.2
AL,Alabama,6,H6AL06127,david,putman,david putman,Democrat,83709,0.254198222929433,0,Challenger,197378.52
AK,Alaska,0,H6AK00045,don,young,don young,Republican,155088,0.503208976047865,1,Incumbent,1103561.86
AK,Alaska,0,H6AK00235,steve,lindbeck,steve lindbeck,Democrat,111019,0.360219728875593,0,Challenger,1102309.77
AS,American Samoa,0,H4AS00036,aumua,amata,aumua amata,Republican,8923,0.754013858374176,1,Incumbent,78278.3
AS,American Samoa,0,H6AS00031,vaitinasa,hunkinfinau,vaitinasa hunkinfinau,Democrat,1581,0.133598107148893,0,Challenger,41670.0
AS,American Samoa,0,H4AS00069,paepaetele,jamias,paepaetele jamias,Democrat,978,0.0826432313672469,0,Challenger,11803.0
AZ,Arizona,1,H6AZ01199,tom,ohalleran,tom ohalleran,Democrat,142219,0.506640304941042,1,Open,1605996.95
AZ,Arizona,1,H2AZ04127,paul,babeu,paul babeu,Republican,121745,0.433703822450216,0,Open,1294238.74
AZ,Arizona,2,H2AZ08102,martha,mcsally,martha mcsally,Republican,179806,0.569584926460107,1,Incumbent,7878156.18
AZ,Arizona,4,H0AZ01259,paul,gosar,paul gosar,Republican,203487,0.714533522015008,1,Incumbent,707653.4
AZ,Arizona,4,H2AZ04143,mikel,weisser,mikel weisser,Democrat,81296,0.285466477984992,0,Challenger,36043.62
AZ,Arizona,5,H6AZ05083,andy,biggs,andy biggs,Republican,205184,0.640951631242893,1,Open,995666.43
AZ,Arizona,5,H6AZ05133,talia,fuentes,talia fuentes,Democrat,114940,0.359048368757107,0,Open,18657.82
AZ,Arizona,6,H4AZ06045,david,schweikert,david schweikert,Republican,201578,0.621302905894392,1,Incumbent,797747.29
AZ,Arizona,6,H2AZ05132,john,williamson,john williamson,Democrat,122866,0.378697094105608,0,Challenger,6470.77
AZ,Arizona,7,H4AZ07043,ruben,gallego,ruben gallego,Democrat,119465,0.752246380918198,1,Incumbent,1093477.4
AZ,Arizona,7,H6AZ07030,eve,nunez,eve nunez,Republican,39286,0.247375811499203,0,Challenger,33620.36
AZ,Arizona,8,H4AZ04024,trent,franks,trent franks,Republican,204942,0.68549123493583,1,Incumbent,362299.08
AZ,Arizona,9,H2AZ09019,kyrsten,sinema,kyrsten sinema,Democrat,169055,0.609191840205833,1,Incumbent,4402181.31
AZ,Arizona,9,H6AZ09010,dave,giles,dave giles,Republican,108350,0.390440601498341,0,Challenger,273769.71
AR,Arkansas,1,H0AR01083,rick,crawford,rick crawford,Republican,183866,0.762780702518596,1,Incumbent,669501.96
AR,Arkansas,2,H4AR02141,french,hill,french hill,Republican,176472,0.583447947524334,1,Incumbent,2240181.57
AR,Arkansas,2,H6AR02245,dianne,curry,dianne curry,Democrat,111347,0.368133067075751,0,Challenger,37666.34
AR,Arkansas,3,H0AR03055,steve,womack,steve womack,Republican,217192,0.773181159600864,1,Incumbent,931782.13
AR,Arkansas,4,H4AR04048,bruce,westerman,bruce westerman,Republican,182885,0.74904058420947,1,Incumbent,716791.26
CA,California,1,H2CA02142,doug,malfa,doug malfa,Republican,185448,0.590531021921054,1,Incumbent,800277.02
CA,California,1,H6CA01194,jim,reed,jim reed,Democrat,128588,0.409468978078946,0,Challenger,138508.99
CA,California,2,H2CA06259,jared,huffman,jared huffman,Democrat,254194,0.768500994660878,1,Incumbent,973816.67
CA,California,2,H4CA02098,dale,mensing,dale mensing,Republican,76572,0.231499005339122,0,Challenger,4587.0
CA,California,3,H0CA10149,john,garamendi,john garamendi,Democrat,152513,0.593514317069184,1,Incumbent,1145846.45
CA,California,3,H6CA03117,eugene,cleek,eugene cleek,Republican,104453,0.406485682930816,0,Challenger,382004.01
CA,California,4,H8CA04152,tom,mcclintock,tom mcclintock,Republican,220133,0.627198855768738,1,Incumbent,1058570.56
CA,California,4,H6CA04156,robert,derlet,robert derlet,Democrat,130845,0.372801144231262,0,Challenger,105527.33
CA,California,5,H8CA01109,mike,thompson,mike thompson,Democrat,224526,0.768685101560815,1,Incumbent,2057128.82
CA,California,5,H6CA05336,carlos,santamaria,carlos santamaria,Republican,67565,0.231314898439185,0,Challenger,2700.0
CA,California,6,H6CA05195,doris,matsui,doris matsui,Democrat,177565,0.754270155004184,1,Incumbent,1103289.27
CA,California,6,H6CA06227,robert,evans,robert evans,Republican,57848,0.245729844995816,0,Challenger,2905.0
CA,California,7,H0CA03078,ami,bera,ami bera,Democrat,152133,0.511713717747334,1,Incumbent,4172935.83
CA,California,7,H6CA07126,scott,jones,scott jones,Republican,145168,0.488286282252667,0,Challenger,1362661.26
CA,California,8,H2CA08164,paul,cook,paul cook,Republican,136972,0.622580190630298,1,Incumbent,944657.62
CA,California,8,H8CA41139,rita,ramirez,rita ramirez,Democrat,83035,0.377419809369702,0,Challenger,35743.12
CA,California,9,H4CA11081,jerry,mcnerney,jerry mcnerney,Democrat,133163,0.573595227326571,1,Incumbent,1217897.4
CA,California,9,H0CA11337,antonio,amador,antonio amador,Republican,98992,0.426404772673429,0,Challenger,65366.84
CA,California,10,H0CA19173,jeff,denham,jeff denham,Republican,124671,0.51700457408736,1,Incumbent,3345326.67
CA,California,10,H4CA10075,michael,eggman,michael eggman,Democrat,116470,0.48299542591264,0,Challenger,1639589.92
CA,California,11,H0CA10073,mark,desaulnier,mark desaulnier,Democrat,214868,0.720528220140908,1,Incumbent,629490.86
CA,California,11,H6CA11169,roger,petersen,roger petersen,Republican,83341,0.279471779859092,0,Challenger,8789.5
CA,California,12,H8CA05035,nancy,pelosi,nancy pelosi,Democrat,274035,0.808732606353938,1,Incumbent,4416893.49
CA,California,12,H6CA12175,preston,picus,preston picus,Other,64810,0.191267393646062,0,Challenger,28479.57
CA,California,13,H8CA09060,barbara,lee,barbara lee,Democrat,293117,0.907845548222045,1,Incumbent,1328822.47
CA,California,13,H6CA13140,sue,caro,sue caro,Republican,29754,0.0921544517779547,0,Challenger,4521.0
CA,California,14,H8CA12171,jackie,speier,jackie speier,Democrat,231630,0.808631265120598,1,Incumbent,874657.21
CA,California,14,H6CA14114,angel,cardenas,angel cardenas,Other,54817,0.191368734879402,0,Challenger,4140.06
CA,California,15,H2CA15094,eric,swalwell,eric swalwell,Democrat,198578,0.737667953208988,1,Incumbent,1986833.43
CA,California,15,H6CA15152,danny,turner,danny turner,Republican,70619,0.262332046791012,0,Challenger,632.75
CA,California,16,H4CA20082,jim,costa,jim costa,Democrat,97473,0.580348424587392,1,Incumbent,1759404.4
CA,California,16,H2CA16100,johnny,tacherra,johnny tacherra,Republican,70483,0.419651575412608,0,Challenger,547428.08
CA,California,17,H4CA12055,ro,khanna,ro khanna,Democrat,142268,0.610089539949913,1,Challenger,3732538.09
CA,California,17,H0CA15148,mike,honda,mike honda,Democrat,90924,0.389910460050088,0,Incumbent,2996005.94
CA,California,18,H8CA12098,anna,eshoo,anna eshoo,Democrat,230460,0.71145000463063,1,Incumbent,1375000.13
CA,California,18,H4CA18094,richard,fox,richard fox,Republican,93470,0.28854999536937,0,Challenger,26480.93
CA,California,19,H4CA16049,zoe,lofgren,zoe lofgren,Democrat,181802,0.739444324684886,1,Incumbent,1381139.75
CA,California,19,H6CA19121,burt,lancaster,burt lancaster,Republican,64061,0.260555675315115,0,Challenger,5500.0
CA,California,20,H6CA20152,jimmy,panetta,jimmy panetta,Democrat,180980,0.707530757532517,1,Open,1417975.94
CA,California,20,H6CA20145,casey,lucius,casey lucius,Republican,74811,0.292469242467483,0,Open,420766.94
CA,California,21,H2CA20094,david,valadao,david valadao,Republican,75126,0.567382635490303,1,Incumbent,2783958.76
CA,California,21,H6CA21218,emilio,huerta,emilio huerta,Democrat,57282,0.432617364509697,0,Challenger,774232.31
CA,California,22,H8CA20059,devin,nunes,devin nunes,Republican,158755,0.675650945243142,1,Incumbent,2463359.88
CA,California,23,H6CA22125,kevin,mccarthy,kevin mccarthy,Republican,167116,0.69175110934499,1,Incumbent,7824640.59
CA,California,23,H6CA23206,wendy,reed,wendy reed,Democrat,74468,0.30824889065501,0,Challenger,40357.4
CA,California,24,H6CA24303,salud,carbajal,salud carbajal,Democrat,166034,0.534190866563282,1,Open,3172597.42
CA,California,24,H4CA24142,justin,fareed,justin fareed,Republican,144780,0.465809133436718,0,Open,2353070.71
CA,California,25,H4CA25123,steve,knight,steve knight,Republican,138755,0.531300615329241,1,Incumbent,1712195.09
CA,California,25,H6CA25177,bryan,caforio,bryan caforio,Democrat,122406,0.468699384670759,0,Challenger,1706520.29
CA,California,26,H2CA00120,julia,brownley,julia brownley,Democrat,169248,0.603795124631208,1,Incumbent,3397538.71
CA,California,26,H4CA26139,rafael,dagnesses,rafael dagnesses,Republican,111059,0.396204875368792,0,Challenger,431583.71
CA,California,27,H0CA32101,judy,chu,judy chu,Democrat,168977,0.674203613265664,1,Incumbent,1185705.39
CA,California,27,H2CA27198,jack,orswell,jack orswell,Republican,81655,0.325796386734336,0,Challenger,201166.01
CA,California,28,H0CA27085,adam,schiff,adam schiff,Democrat,210883,0.779866794374448,1,Incumbent,975256.29
CA,California,29,H2CA28113,tony,cardenas,tony cardenas,Democrat,128407,0.747317022069094,1,Incumbent,1705480.77
CA,California,29,H6CA29229,richard,alarcon,richard alarcon,Democrat,43417,0.252682977930906,0,Challenger,70834.33
CA,California,30,H6CA24113,brad,sherman,brad sherman,Democrat,205279,0.726383915301977,1,Incumbent,1663502.31
CA,California,31,H2CA31125,pete,aguilar,pete aguilar,Democrat,121070,0.560675385299348,1,Incumbent,2954535.72
CA,California,31,H4CA31071,paul,chabot,paul chabot,Republican,94866,0.439324614700652,0,Challenger,698718.69
CA,California,32,H8CA34068,grace,napolitano,grace napolitano,Democrat,114926,0.615743171565423,1,Incumbent,748105.98
CA,California,32,H6CA32132,roger,hernndez,roger hernndez,Democrat,71720,0.384256828434577,0,Challenger,187642.23
CA,California,33,H4CA33119,ted,lieu,ted lieu,Democrat,219397,0.664398474951472,1,Incumbent,2066220.28
CA,California,33,H6CA33106,kenneth,wright,kenneth wright,Republican,110822,0.335601525048528,0,Challenger,77202.3
CA,California,34,H2CA30143,xavier,becerra,xavier becerra,Democrat,122842,0.77183392394883,1,Incumbent,1867773.33
CA,California,34,H6CA34229,adrienne,edwards,adrienne edwards,Democrat,36314,0.22816607605117,0,Challenger,20.0
CA,California,35,H4CA35031,norma,torres,norma torres,Democrat,124044,0.723909123271842,1,Incumbent,608052.9
CA,California,35,H6CA35127,tyler,fischella,tyler fischella,Republican,47309,0.276090876728158,0,Challenger,3747.65
CA,California,36,H2CA36439,raul,ruiz,raul ruiz,Democrat,144348,0.620539341492668,1,Incumbent,3219813.81
CA,California,36,H6CA36182,jeff,stone,jeff stone,Republican,88269,0.379460658507332,0,Challenger,362037.43
CA,California,37,H0CA33117,karen,bass,karen bass,Democrat,192490,0.811263023028423,1,Incumbent,648452.4
CA,California,38,H2CA39078,linda,snchez,linda snchez,Democrat,163590,0.704782994563016,1,Incumbent,1480952.91
CA,California,39,H6CA39020,ed,royce,ed royce,Republican,150777,0.572304293696101,1,Incumbent,4456337.02
CA,California,39,H6CA39137,brett,murdock,brett murdock,Democrat,112679,0.427695706303899,0,Challenger,79382.92
CA,California,40,H2CA33048,lucille,roybalallard,lucille roybalallard,Democrat,106554,0.713704896950374,1,Incumbent,656653.58
CA,California,41,H2CA43245,mark,takano,mark takano,Democrat,128164,0.649513741429028,1,Incumbent,1075393.13
CA,California,41,H6CA41182,doug,shepherd,doug shepherd,Republican,69159,0.350486258570973,0,Challenger,252554.04
CA,California,42,H2CA37023,ken,calvert,ken calvert,Republican,149547,0.588221180320647,1,Incumbent,1452907.26
CA,California,42,H4CA42086,tim,sheridan,tim sheridan,Democrat,104689,0.411778819679353,0,Challenger,162960.71
CA,California,43,H4CA23011,maxine,waters,maxine waters,Democrat,167017,0.760842034293628,1,Incumbent,954948.76
CA,California,43,H6CA44145,omar,navarro,omar navarro,Republican,52499,0.239157965706372,0,Open,2846.0
CA,California,44,H6CA44103,nanette,barragn,nanette barragn,Democrat,93124,0.521957480676857,1,Open,1910135.24
CA,California,44,H2CA35100,isadore,hall,isadore hall,Democrat,85289,0.478042519323144,0,Open,1881384.39
CA,California,45,H4CA45097,mimi,walters,mimi walters,Republican,182618,0.585597516746887,1,Incumbent,1977608.5
CA,California,45,H2CA48095,ron,varasteh,ron varasteh,Democrat,129231,0.414402483253113,0,Challenger,40303.49
CA,California,46,H6CA46116,lou,correa,lou correa,Democrat,115248,0.700199886993979,1,Open,951732.66
CA,California,46,H6CA46140,bao,nguyen,bao nguyen,Democrat,49345,0.299800113006021,0,Open,281524.4
CA,California,47,H2CA00104,alan,lowenthal,alan lowenthal,Democrat,154759,0.637214453942059,1,Incumbent,730648.41
CA,California,47,H4CA47069,andy,whallon,andy whallon,Republican,88109,0.362785546057941,0,Challenger,70741.33
CA,California,48,H8CA42061,dana,rohrabacher,dana rohrabacher,Republican,178701,0.583197352618662,1,Incumbent,887923.35
CA,California,48,H6CA48237,suzanne,savary,suzanne savary,Democrat,127715,0.416802647381338,0,Challenger,110054.08
CA,California,49,H0CA48024,darrell,issa,darrell issa,Republican,155888,0.50261320952427,1,Incumbent,2890440.52
CA,California,49,H6CA49102,doug,applegate,doug applegate,Democrat,154267,0.49738679047573,0,Challenger,2114731.96
CA,California,50,H8CA52052,duncan,hunter,duncan hunter,Republican,179937,0.634512647090975,1,Incumbent,1203940.64
CA,California,50,H6CA50258,patrick,malloy,patrick malloy,Democrat,103646,0.365487352909025,0,Challenger,27447.89
CA,California,51,H2CA50026,juan,vargas,juan vargas,Democrat,145162,0.72754154888635,1,Incumbent,1138131.37
CA,California,51,H6CA51066,juan,hidalgo,juan hidalgo,Republican,54362,0.27245845111365,0,Challenger,76403.12
CA,California,52,H2CA52089,scott,peters,scott peters,Democrat,181253,0.565256848460656,1,Incumbent,3604614.7
CA,California,52,H6CA52130,denise,gitsham,denise gitsham,Republican,139403,0.434743151539344,0,Challenger,1451738.2
CA,California,53,H0CA49055,susan,davis,susan davis,Democrat,198988,0.670092538962001,1,Incumbent,485051.35
CA,California,53,H6CA53054,james,veltmeyer,james veltmeyer,Republican,97968,0.329907461037999,0,Challenger,122886.07
CO,Colorado,1,H6CO01141,diana,degette,diana degette,Democrat,257254,0.678705980434576,1,Incumbent,1256204.07
CO,Colorado,1,H6CO01208,charles,stockham,charles stockham,Republican,105030,0.277097689929189,0,Challenger,61218.73
CO,Colorado,2,H8CO02137,jared,polis,jared polis,Democrat,260175,0.568922311244839,1,Incumbent,1389071.3
CO,Colorado,2,H6CO02149,nicholas,morse,nicholas morse,Republican,170001,0.371739643831782,0,Challenger,167116.24
CO,Colorado,3,H6CO03139,scott,tipton,scott tipton,Republican,204220,0.545988765817286,1,Incumbent,1970816.16
CO,Colorado,3,H6CO03170,gail,schwartz,gail schwartz,Democrat,150914,0.403473453161051,0,Challenger,1704795.54
CO,Colorado,4,H4CO04090,ken,buck,ken buck,Republican,248230,0.63545253241517,1,Incumbent,1020222.48
CO,Colorado,4,H6CO04160,bob,seay,bob seay,Democrat,123642,0.31651541720532,0,Challenger,73843.36
CO,Colorado,5,H6CO05159,doug,lamborn,doug lamborn,Republican,225445,0.622580181931657,1,Incumbent,590783.39
CO,Colorado,5,H6CO05233,misty,plowright,misty plowright,Democrat,111676,0.308400117090198,0,Challenger,14542.37
CO,Colorado,6,H8CO06138,mike,coffman,mike coffman,Republican,191626,0.509079026717709,1,Incumbent,3568845.95
CO,Colorado,6,H6CO06058,morgan,carroll,morgan carroll,Democrat,160372,0.426048770379659,0,Challenger,3158135.43
CO,Colorado,7,H6CO07023,ed,perlmutter,ed perlmutter,Democrat,199758,0.551802436396785,1,Incumbent,1907702.23
CO,Colorado,7,H6CO07106,george,athanasopoulos,george athanasopoulos,Republican,144066,0.397961382282257,0,Challenger,54353.6
CT,Connecticut,1,H8CT01046,john,larson,john larson,Democrat,187021,0.59765439002956,1,Incumbent,1624955.0
CT,Connecticut,1,H2CT01189,matthew,corey,matthew corey,Republican,105674,0.337697531357354,0,Challenger,18490.31
CT,Connecticut,2,H2CT02112,joe,courtney,joe courtney,Democrat,186210,0.563833620483442,1,Incumbent,1202548.39
CT,Connecticut,2,H0CT02140,daria,novak,daria novak,Republican,111149,0.336553048080737,0,Challenger,51167.66
CT,Connecticut,3,H0CT03072,rosa,delauro,rosa delauro,Democrat,192274,0.621483681827144,1,Incumbent,1146729.78
CT,Connecticut,4,H8CT04172,jim,himes,jim himes,Democrat,187811,0.599001722268291,1,Incumbent,2167398.67
CT,Connecticut,4,H4CT04114,john,shaban,john shaban,Republican,120653,0.384808955795114,0,Challenger,154620.31
CT,Connecticut,5,H2CT05131,elizabeth,esty,elizabeth esty,Democrat,163499,0.528982600086708,1,Incumbent,1989108.93
CT,Connecticut,5,H6CT05157,clay,cope,clay cope,Other,4901,0.0158566335147307,0,Challenger,109862.67
DE,Delaware,0,H6DE00206,lisa,rochester,lisa rochester,Democrat,233554,0.555234880182579,1,Open,1576041.65
DE,Delaware,0,H6DE01071,hans,reigle,hans reigle,Republican,172301,0.409616298972994,0,Open,221665.5
DC,District of Columbia,0,H0DC00058,eleanor,norton,eleanor norton,Democrat,265178,0.88126524562488,1,Incumbent,385250.0
FL,Florida,1,H6FL01119,matt,gaetz,matt gaetz,Republican,255107,0.690998575243915,1,Open,1172645.54
FL,Florida,1,H6FL01176,steven,specht,steven specht,Democrat,114079,0.309001424756085,0,Open,61750.03
FL,Florida,2,H6FL02208,neal,dunn,neal dunn,Republican,231163,0.673234079484626,1,Open,2060858.58
FL,Florida,2,H6FL02257,walter,dartland,walter dartland,Democrat,102801,0.299395390287801,0,Open,136763.01
FL,Florida,2,H6FL02240,rob,lapham,rob lapham,Other,9395,0.0273617930930039,0,Open,18286.6
FL,Florida,3,H2FL06109,ted,yoho,ted yoho,Republican,193843,0.565634665888532,1,Incumbent,833701.83
FL,Florida,3,H6FL03081,kenneth,mcgurn,kenneth mcgurn,Democrat,136338,0.397834840968777,0,Challenger,602081.92
FL,Florida,3,H6FL03073,tom,wells,tom wells,Other,12519,0.0365304931426904,0,Challenger,7916.0
FL,Florida,4,H6FL04105,john,rutherford,john rutherford,Republican,287509,0.701820037006117,1,Open,835236.7
FL,Florida,4,H2FL06091,david,bruderly,david bruderly,Democrat,113088,0.276051964790486,0,Open,50194.24
FL,Florida,5,H0FL02086,al,lawson,al lawson,Democrat,194549,0.642343020529989,1,Challenger,444464.07
FL,Florida,6,H2FL00292,ron,desantis,ron desantis,Republican,213519,0.5856735332035,1,Incumbent,4928629.93
FL,Florida,6,H6FL06126,william,mccullough,william mccullough,Democrat,151051,0.4143264667965,0,Challenger,41250.0
FL,Florida,7,H6FL07140,stephanie,murphy,stephanie murphy,Democrat,182039,0.51473611287837,1,Challenger,1083923.14
FL,Florida,7,H2FL08055,john,mica,john mica,Republican,171583,0.485170575843689,0,Incumbent,1646784.85
FL,Florida,8,H8FL15107,bill,posey,bill posey,Republican,246483,0.631099879404242,1,Incumbent,896408.67
FL,Florida,8,H4FL08077,corry,westbrook,corry westbrook,Democrat,127127,0.325498449665993,0,Challenger,37564.65
FL,Florida,8,H6FL08254,bill,stinson,bill stinson,Other,16951,0.0434016709297651,0,Challenger,20500.0
FL,Florida,9,H6FL09179,darren,soto,darren soto,Democrat,195311,0.574848202118548,1,Open,1219140.66
FL,Florida,9,H6FL09195,wayne,liebnitzky,wayne liebnitzky,Republican,144450,0.425151797881452,0,Open,32471.39
FL,Florida,10,H2FL08063,val,demings,val demings,Democrat,198491,0.648686717496381,1,Challenger,165168.08
FL,Florida,10,H6FL05177,thuy,lowe,thuy lowe,Republican,107498,0.351313282503619,0,Challenger,50734.93
FL,Florida,11,H0FL08208,daniel,webster,daniel webster,Republican,258016,0.653670079220914,1,Incumbent,875287.5
FL,Florida,11,H4FL11071,dave,koller,dave koller,Democrat,124713,0.315953881115426,0,Open,49745.28
FL,Florida,12,H6FL09070,gus,bilirakis,gus bilirakis,Republican,253559,0.685908204366609,1,Incumbent,1414045.95
FL,Florida,12,H6FL12181,robert,tager,robert tager,Democrat,116110,0.314091795633391,0,Challenger,47918.0
FL,Florida,13,H6FL13205,charlie,crist,charlie crist,Democrat,184693,0.519030918216512,1,Challenger,2081442.29
FL,Florida,13,H4FL13101,david,jolly,david jolly,Republican,171149,0.480969081783488,0,Incumbent,1989867.96
FL,Florida,14,H6FL11126,kathy,castor,kathy castor,Democrat,195789,0.617870656437671,1,Incumbent,735013.13
FL,Florida,14,H6FL14112,christine,quinn,christine quinn,Republican,121088,0.382129343562329,0,Challenger,33107.49
FL,Florida,15,H0FL12101,dennis,ross,dennis ross,Republican,182999,0.57461205624321,1,Incumbent,1220745.57
FL,Florida,15,H6FL15150,jim,lange,jim lange,Democrat,135475,0.42538794375679,0,Challenger,39917.88
FL,Florida,16,H6FL13148,vern,buchanan,vern buchanan,Republican,230654,0.597679287720644,1,Incumbent,1660718.68
